dst,absolutetrust_score
379,1.0338914719914181e-05
380,3.181751491158354e-06
381,0.0
382,1.5314085836390058e-05
383,1.1665502280799648e-06
384,0.00013473621688489358
385,1.8192693408417426e-06
386,2.4021791144803596e-05
387,2.2032036276775195e-05
388,1.8976323795405397e-06
389,8.904954024375898e-06
390,1.2326794843402377e-05
391,1.169870104834361e-06
392,9.269341620698466e-06
393,6.406440242019687e-06
394,0.00010258924798755015
395,0.00010945600780681103
396,0.00014089179558870034
397,1.4141540612303022e-06
398,2.871996753556299e-07
399,0.00011901516328715968
400,4.781042906407808e-06
401,4.6163928575956685e-06
402,1.0637106235513862e-06
403,2.2004887076389243e-06
404,1.3081459692717984e-05
405,8.107903204286377e-05
406,2.7246880919823524e-06
407,0.0
408,6.4489541148872185e-06
409,9.343066121257031e-06
410,0.0006790589159253304
411,6.696099980062511e-05
412,3.64471372035156e-05
413,0.0
414,4.6908254157889955e-06
415,1.2429518843703377e-05
416,0.00010891230746041213
417,1.512168130898459e-05
418,4.1321435415098775e-06
419,8.907785303060237e-07
420,0.0
421,0.0002731685164257504
422,0.0
423,1.0056739201241716e-05
424,0.0006216671552205267
425,0.00015992886339899823
426,0.0
427,2.047154898645399e-06
428,1.1220405640866483e-06
429,4.637598620460659e-06
430,1.0324696959750932e-05
431,0.0013951344526946976
432,0.0004023496222189739
433,1.1358416559467455e-05
434,8.437777210983496e-06
435,5.767644511529111e-07
436,2.0536907053977617e-05
437,2.326224596920691e-06
438,0.0007295666333764411
439,6.164389737232095e-06
440,2.34292169925519e-06
441,5.225302213412631e-06
442,0.0013951344526946976
443,0.07413040804568741
444,7.479215823053666e-07
445,2.342613624125339e-05
446,0.0001737660068065468
447,2.1760124935622972e-06
448,2.572694115489899e-06
449,2.31879931023033e-06
450,2.2086127938340543e-05
451,4.183487291728234e-06
452,1.6443848910564573e-05
453,2.849101453881896e-06
454,1.620595539835142e-05
455,2.896189832778678e-05
456,0.03868080364478898
457,8.745021786153531e-05
458,2.8914711447835475e-06
459,0.009709677899678918
460,1.1547017098949226e-06
461,3.9287230416840676e-07
462,2.8774104526490072e-06
463,7.0407005202076946e-06
464,0.0003135510085531733
465,9.873379054165676e-05
466,3.214657114396201e-05
467,4.408518353413752e-06
468,3.9670719799513536e-05
469,8.052370173388366e-05
470,1.7739922446441318e-06
471,2.831908989924224e-06
472,5.366082931689751e-05
473,4.637598620460659e-06
474,3.9287230416840676e-07
475,0.00037770766167504155
476,5.165783997958778e-06
477,3.9828060436568014e-06
478,9.241925597810979e-06
479,3.781408082793647e-06
480,3.5248710526072595e-06
481,0.00017671282803818583
482,1.996078607525252e-07
483,0.0
484,7.577173797423007e-05
485,7.914215958788342e-06
486,0.0003663512483470209
487,0.0
488,6.646276434961644e-06
489,3.463284031591894e-06
490,5.868354572041091e-06
491,9.693452539950251e-05
492,8.461725424426654e-05
493,0.00021986720152581988
494,0.00019309228024903317
495,8.469579186923742e-05
496,1.0059492493188696e-06
497,7.297009651892458e-06
498,5.8755662009115924e-06
499,3.831621937324933e-05
500,4.53964437436932e-06
501,0.009831117719722742
502,1.2896911366351924e-05
503,4.18097305437761e-06
504,0.0
505,0.0013951344526946976
506,0.0005216017449320717
507,9.713886363117362e-06
508,5.043257770663153e-06
509,2.528093219889921e-07
510,3.404869527083714e-08
511,0.0013951344526946976
512,2.5273353264852066e-08
513,3.404869527083714e-08
514,2.354026963541368e-05
515,6.6782154447942335e-06
516,0.00030847370482975616
517,2.919388789521782e-07
518,0.00030362795357530953
519,4.6908254157889955e-06
520,1.6121799976888312e-05
521,9.365608786502396e-06
522,0.00010506168012033517
523,4.588446265046551e-06
524,1.17889073682286e-06
525,2.7504247928866757e-05
526,6.904339518561517e-06
527,7.562578656442115e-06
528,5.6553154190242895e-06
529,4.0061838079067746e-07
530,1.1556282974346264e-05
531,4.854023292668426e-07
532,2.4355714673934463e-06
533,0.0002158351856981963
534,0.0003937931250950813
535,5.542066002925111e-06
536,1.653884292572904e-05
537,0.0001581643040823333
538,6.344596565898894e-06
539,0.00015800682290925588
540,0.00011859965735084362
541,8.213573082104216e-06
542,4.570458050409757e-06
543,9.618295763409091e-06
544,9.850997578090635e-05
545,9.907407836879037e-05
