dst,repulink_score
310,1.9050668937251746e-12
311,2.8634298728196056e-12
312,2.6276218175376647e-12
313,2.252131036936088e-12
314,5.027430537082806e-12
315,1.853441115681501e-12
316,1.1010667343937322e-12
317,1.857089814478776e-12
318,2.584137432470286e-12
319,1.8869566087737367e-12
320,1.885346614646759e-12
321,1.6164823077366361e-12
322,1.557374654099934e-12
323,2.9744205567830087e-12
324,1.939134951032513e-12
325,1.413900995228636e-12
326,2.308588707124535e-12
327,1.9502087538596527e-12
328,2.740888471262873e-12
329,2.1947400002427028e-12
330,1.6940527360367813e-12
331,1.7043400631695537e-12
332,1.7058138176812303e-12
333,2.094508136083016e-12
334,1.904611946124093e-12
335,2.4443366486676606e-12
336,2.211607860778423e-12
337,1.1493383154837944e-12
338,0.062470488518475725
339,2.3999235610724096e-12
340,2.197946868269388e-12
341,1.7990098650676356e-12
342,1.344803212290679e-12
343,2.1019341591211014e-12
344,1.5941411101770785e-12
345,1.5776796192562295e-12
346,1.815510428266746e-12
347,1.775562262481067e-12
348,1.726584767970104e-12
349,1.9330040027359805e-12
350,1.5835839503093143e-12
351,1.8114632338809401e-12
352,1.572501286286172e-12
353,2.4414122101330427e-12
354,2.197292058517732e-12
355,2.6638929731206933e-12
356,2.1659860423896983e-12
357,2.450035203821765e-12
358,1.7131588799754265e-12
359,9.023376056545555e-13
360,2.198645863056381e-12
361,2.0392317202180715e-12
362,2.337341991063596e-12
363,1.1613328090406336e-12
364,2.422362817278156e-13
365,1.88866825329864e-12
366,1.8065083019445495e-12
367,1.9881334177523722e-12
368,2.0764326787667347e-12
369,1.7772440252438364e-12
370,2.0699560311321673e-12
371,1.7312579026805905e-12
372,1.3036898202642072e-12
373,1.8233997354545834e-12
374,5.634132687840653e-13
375,1.5485651007425502e-12
376,1.2938949867041548e-12
377,1.1643869950849222e-12
378,4.0717184801950386e-13
379,2.2126741435900168e-12
380,2.092628041629287e-12
381,2.188882925616938e-12
382,2.337620738435892e-12
383,2.326683056607473e-12
384,3.0521986881190784e-12
385,1.877038741494264e-12
386,1.6367148600299359e-12
387,1.6297159030481697e-12
388,5.433269109419493e-13
389,1.6241154302748901e-12
390,1.611883239358115e-12
391,1.8342239899453084e-12
392,1.4905643483777334e-12
393,1.388630841121827e-12
394,1.902465020186492e-12
395,1.7733395583100418e-12
396,1.9260891934635763e-12
397,1.8510280000242743e-12
398,1.5957260272411536e-12
399,1.0055612517771793e-12
400,4.993969349605786e-13
401,1.4417207501136855e-12
402,1.9921198377247093e-12
403,1.8791940696229784e-12
404,1.837523723353027e-12
405,1.6096437488765657e-12
406,2.651194230690169e-12
407,8.872451743773252e-13
